authors,title,language_code
Suzanne Collins,The Hunger Games,eng
"J.K. Rowling, Mary GrandPré","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng
Stephenie Meyer,"Twilight (Twilight, #1)",en-US
Harper Lee,To Kill a Mockingbird,eng
F. Scott Fitzgerald,The Great Gatsby,eng
John Green,The Fault in Our Stars,eng
J.R.R. Tolkien,The Hobbit,en-US
J.D. Salinger,The Catcher in the Rye,eng
Dan Brown,"Angels & Demons  (Robert Langdon, #1)",en-CA
Jane Austen,Pride and Prejudice,eng
Khaled Hosseini,The Kite Runner,eng
Veronica Roth,"Divergent (Divergent, #1)",eng
"George Orwell, Erich Fromm, Celâl Üster",1984,eng
George Orwell,Animal Farm,eng
"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",The Diary of a Young Girl,eng
"Stieg Larsson, Reg Keeland","The Girl with the Dragon Tattoo (Millennium, #1)",eng
Suzanne Collins,"Catching Fire (The Hunger Games, #2)",eng
"J.K. Rowling, Mary GrandPré, Rufus Beck","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng
J.R.R. Tolkien,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng
Suzanne Collins,"Mockingjay (The Hunger Games, #3)",eng
"J.K. Rowling, Mary GrandPré","Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng
Alice Sebold,The Lovely Bones,eng
"J.K. Rowling, Mary GrandPré","Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng
"J.K. Rowling, Mary GrandPré","Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng
"J.K. Rowling, Mary GrandPré","Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng
Dan Brown,"The Da Vinci Code (Robert Langdon, #2)",eng
"J.K. Rowling, Mary GrandPré","Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng
William Golding,Lord of the Flies,eng
"William Shakespeare, Robert           Jackson",Romeo and Juliet,eng
Gillian Flynn,Gone Girl,eng
Kathryn Stockett,The Help,eng
John Steinbeck,Of Mice and Men,eng
Arthur Golden,Memoirs of a Geisha,eng
E.L. James,"Fifty Shades of Grey (Fifty Shades, #1)",eng
"Paulo Coelho, Alan R. Clarke",The Alchemist,eng
Lois Lowry,"The Giver (The Giver, #1)",eng
C.S. Lewis,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng
Audrey Niffenegger,The Time Traveler's Wife,eng
George R.R. Martin,"A Game of Thrones (A Song of Ice and Fire, #1)",eng
Elizabeth Gilbert,"Eat, Pray, Love",eng
Rick Riordan,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng
Louisa May Alcott,"Little Women (Little Women, #1)",en-US
"Charlotte Brontë, Michael Mason",Jane Eyre,eng
Nicholas Sparks,"The Notebook (The Notebook, #1)",eng
Yann Martel,Life of Pi,
Sara Gruen,Water for Elephants,eng
Markus Zusak,The Book Thief,eng
Ray Bradbury,Fahrenheit 451,spa
Stephenie Meyer,"New Moon (Twilight, #2)",eng
Shel Silverstein,Where the Sidewalk Ends,eng
Cassandra Clare,"City of Bones (The Mortal Instruments, #1)",eng
Stephenie Meyer,"Eclipse (Twilight, #3)",en-US
Christopher Paolini,"Eragon (The Inheritance Cycle, #1)",en-US
Douglas Adams,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US
Aldous Huxley,Brave New World,eng
Stephenie Meyer,"Breaking Dawn (Twilight, #4)",en-US
Sue Monk Kidd,The Secret Life of Bees,en-US
"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,eng
"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,eng
Mark Haddon,The Curious Incident of the Dog in the Night-Time,eng
Paula Hawkins,The Girl on the Train,eng
Philip Pullman,"The Golden Compass (His Dark Materials, #1)",eng
"Emily Brontë, Richard J. Dunn",Wuthering Heights,eng
Jodi Picoult,My Sister's Keeper,eng
Kurt Vonnegut Jr.,Slaughterhouse-Five,eng
Margaret Mitchell,Gone with the Wind,eng
Khaled Hosseini,A Thousand Splendid Suns,eng
Stephen Chbosky,The Perks of Being a Wallflower,eng
Veronica Roth,"Insurgent (Divergent, #2)",eng
Orson Scott Card,"Ender's Game (Ender's Saga, #1)",eng
"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",Frankenstein,eng
Stephen King,The Shining (The Shining #1),eng
